Hour,Price,Uni Value,Debt Value,Net PnL
109,2935.430839361374,9915.742780855375,4892.384732268957,23.35804858641768
110,2924.1875859921984,9896.562895711726,4873.645976653665,22.916919058061467
111,2924.0325270125586,9896.522778341754,4873.387545020932,23.135233320822408
112,2924.3847784142613,9897.360853148633,4873.974630690435,23.386222458198063
113,2938.8272600115383,9922.497518173936,4898.045433352564,24.4520848213715
114,2937.6968461788547,9920.782734424612,4896.161410298091,24.62132412652136
115,2939.4690898936137,9924.056906411573,4899.11514982269,24.941756588883436
116,2939.2650286288153,9923.934645138517,4898.775047714693,25.15959742382438
117,2932.402942351035,9912.353219003648,4887.338237251725,25.014981751922278
118,2939.113041852344,9924.130133690853,4898.521736420574,25.608397270279056
119,2943.536399453318,9931.950218479069,4905.893999088864,26.056219390205115
120,2948.1969477823563,9940.15924260815,4913.661579637261,26.497662970888996
121,2942.839714422796,9931.212238421727,4904.732857371327,26.47938105040066
122,2951.1077049082523,9945.590809805246,4918.512841513754,27.077968291491743
123,2942.845266084229,9931.678380467558,4904.742110140382,26.936270327176317
124,2946.3013531574,9937.828716329683,4910.502255262334,27.326461067348646
125,2959.2371525115186,9960.131962815136,4932.061920852531,28.07004196260459
126,2953.3804918735914,9950.383573858782,4922.30081978932,28.08275406946268
127,2950.0374000818492,9944.903883208497,4916.729000136415,28.174883072081684
128,2950.6254091837677,9946.136853312048,4917.70901530628,28.427838005767626
129,2947.6557684606146,9941.288277055408,4912.759614101024,28.528662954383435
130,2938.5282854155944,9925.864989277166,4897.547142359324,28.317846917841962
131,2938.9312615258036,9926.785822621538,4898.218769209673,28.567053411864435
132,2932.6938147479673,9916.279294687653,4887.823024579946,28.456270107706587
133,2935.4729338940533,9921.294691939813,4892.4548898234225,28.839802116390274
134,2930.0800038954894,9912.227499137232,4883.46667315915,28.76082597808272
135,2939.1769599110544,9928.121233935248,4898.628266518424,29.492967416823376
136,2934.5763242536696,9920.435922965771,4890.960540422783,29.475382542987973
137,2932.6867046919224,9917.408591453304,4887.811174486537,29.597416966767014
138,2937.4621708171885,9925.85865989225,4895.770284695314,30.088375196935885
139,2930.2398294529344,9913.644895063308,4883.733049088224,29.91184597508345
140,2931.5731570285066,9916.173540522594,4885.955261714178,30.218278808415562
141,2939.247152887655,9929.611695947633,4898.7452548127585,30.86644113487455
142,2929.812745624337,9913.592672021801,4883.021242707228,30.571429314572924
143,2930.8948306655807,9915.688375304117,4884.824717775968,30.863657528148906
144,2932.418604910468,9918.544604206601,4887.3643415174465,31.180262689154915
145,2937.00745551374,9926.6748111685,4895.012425856234,31.662385312265542
146,2929.7505687062567,9914.398582393316,4882.917614510428,31.480967882887853
147,2922.0235593515395,9901.262281105395,4870.0392655859,31.223015519495675
148,2925.075403061167,9906.775224281744,4875.125671768612,31.64955251313222
